title,author,length
1. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
2. Eruption,"By: Michael Crichton, James Patterson",Length: 10 hrs and 32 mins
3. The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
4. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
5. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
6. You Like It Darker,By: Stephen King,Length: 20 hrs and 21 mins
7. Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 28 mins
8. The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
9. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
10. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
11. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
12. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
13. All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
14. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
15. The Bishop and the Butterfly,By: Michael Wolraich,Length: 11 hrs and 28 mins
16. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
17. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
18. Reckless,By: Lauren Roberts,Length: 11 hrs and 24 mins
19. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
20. Just for the Summer,By: Abby Jimenez,Length: 11 hrs and 43 mins
21. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
22. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
23. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
24. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
25. Swan Song,By: Elin Hilderbrand,Length: 13 hrs and 39 mins
26. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
27. The Midnight Feast,By: Lucy Foley,Length: 10 hrs and 20 mins
28. On Call,By: Anthony Fauci M.D.,Length: 19 hrs and 12 mins
29. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
30. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
31. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
32. Chaos,"By: Tom O'Neill, Dan Piepenbring",Length: 16 hrs and 15 mins
33. The Demon of Unrest,By: Erik Larson,Length: 17 hrs and 18 mins
34. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
35. The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
36. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
37. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
38. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
39. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
40. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
41. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
"42. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
43. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
44. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
45. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
46. James,By: Percival Everett,Length: 7 hrs and 49 mins
47. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
48. Leather & Lark,By: Brynne Weaver,Length: 12 hrs and 15 mins
49. Tress of the Emerald Sea,By: Brandon Sanderson,Length: 12 hrs and 27 mins
50. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
51. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
52. The Next Mrs. Parrish,By: Liv Constantine,Length: 10 hrs and 51 mins
53. The Five Year Lie,By: Sarina Bowen,Length: 12 hrs and 41 mins
54. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
55. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
56. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 48 mins
57. The Terminal List,By: Jack Carr,Length: 12 hrs and 3 mins
58. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
59. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
60. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
61. Ask Not,By: Maureen Callahan,Length: 11 hrs and 18 mins
62. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
63. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
64. The Paradise Problem,By: Christina Lauren,Length: 11 hrs and 43 mins
65. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
66. Fire & Blood (HBO Tie-in Edition),By: George R. R. Martin,Length: 26 hrs and 24 mins
67. Powerless,By: Lauren Roberts,Length: 17 hrs and 28 mins
68. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
69. The Last Mrs. Parrish,By: Liv Constantine,Length: 12 hrs
70. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
71. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
72. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
73. The Assassin's Blade,By: Sarah J. Maas,Length: 12 hrs and 52 mins
74. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
"75. Right Thing, Right Now",By: Ryan Holiday,Length: 7 hrs and 59 mins
76. Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
77. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
78. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
79. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
80. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
81. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
"82. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
83. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
84. Camino Ghosts,By: John Grisham,Length: 10 hrs and 17 mins
85. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
86. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
87. Ember,"By: Brian Andrews, Jeffrey Wilson",Length: 13 hrs and 57 mins
